Policy ID,Policy Name,Policy Type,Risk Level,Expected ROI,Investment Horizon,Liquidity,Tax Efficiency,Minimum Investment,Maximum Investment,Fee Structure,Target Audience,Investment Goals,Historical 1-Year Return,Historical 3-Year Return,Historical 5-Year Return,Volatility,Sharpe Ratio,Max Drawdown,Tax Advantages,Customer Rating,Lock-in Period,Exit Fees/Withdrawal Penalties
f9ea3080-e981-46db-8c6b-cf7d80e014bb,"Miller, Brown and Matthews Investment Fund",Mutual Fund,Low,8.29,1-3 years,Low,Low,10808,263161,Moderate,General Public,Wealth Creation,10.52,9.64,11.78,7.95,1.72,41.84,Tax-free dividends,4.0,5,1.53
e11bb283-1abd-4a67-9486-0455eb79f095,Branch-Huang Investment Fund,ETFs,High,7.27,3-7 years,Low,Low,40246,290358,Low,Young Professionals,Tax Savings,6.74,8.28,10.62,14.02,0.97,23.7,Tax-free dividends,3.8,5,1.02
74e1d569-786a-4c83-a6b0-71119d7b7557,Townsend LLC Investment Fund,Mutual Fund,Low,12.3,7+ years,Medium,Low,17411,718262,High,Tax Savers,College Fund,4.16,8.09,7.94,9.66,0.76,31.33,None,4.1,2,2.94
c0e17963-2b50-42fe-83c3-46c7ea52dba3,"Ortega, Chavez and Walker Investment Fund",Stock Portfolio,Medium,7.92,7+ years,High,High,34009,859560,High,Young Professionals,Wealth Creation,9.27,4.63,10.88,18.25,1.87,45.9,Tax-free dividends,3.8,5,0.6
9adac90c-3447-410e-8c93-98b3fab1f2f0,Singh Group Investment Fund,Stock Portfolio,High,14.2,7+ years,Low,Low,10738,814959,Low,Retirees,Emergency Fund,16.9,4.75,11.08,18.49,1.86,13.84,None,3.6,2,2.19
40a16502-46cf-456d-8af7-1a403e8c2213,"Gibson, Davis and Rowe Investment Fund",Mutual Fund,High,7.06,1-3 years,Medium,Medium,28118,973824,High,Young Professionals,Tax Savings,8.25,5.77,11.05,12.74,1.76,31.47,Tax-free dividends,3.9,4,2.86
7bf80dda-6ef6-44fa-a736-86f6d54fe3b7,Hernandez LLC Investment Fund,Mutual Fund,Low,12.01,3-7 years,Medium,Low,18920,348480,Moderate,High Net Worth Individuals,Retirement Planning,10.51,8.51,8.32,6.67,1.82,27.7,Tax-free dividends,4.6,5,2.42
0e14f473-9fd5-4cff-a879-712052f3c912,Kirby-Rodriguez Investment Fund,Bond,Low,7.1,3-7 years,Medium,High,39692,418809,Low,Retirees,Wealth Creation,10.51,9.25,10.56,18.32,0.62,16.2,Tax-free dividends,4.0,1,0.55
a24dae41-07be-466c-be1d-292a03edc821,Roberts-Salinas Investment Fund,Real Estate,High,8.75,7+ years,Low,Low,47713,49462,High,Retirees,Retirement Planning,12.67,11.83,12.91,19.13,1.38,13.66,None,4.6,1,0.62
e13ef86f-309c-4eb1-8376-d7aabc53e30c,Pineda-Watkins Investment Fund,ETFs,High,9.66,1-3 years,Medium,High,4903,766601,High,Retirees,Emergency Fund,9.48,7.61,11.3,6.02,1.08,17.85,Tax-free dividends,3.9,3,2.45
a777892d-7e48-4c69-a178-0689a053f06a,White and Sons Investment Fund,Bond,Medium,13.32,3-7 years,High,Medium,15490,291321,Low,Tax Savers,Wealth Creation,7.18,11.97,15.27,12.0,1.26,41.11,Tax-deferred growth,3.5,2,2.3
deb09b79-45fc-4ab4-9cde-e55ee5ea7c8a,Young-Ibarra Investment Fund,Bond,High,10.2,1-3 years,Low,Medium,38076,897684,Moderate,General Public,Retirement Planning,14.39,5.19,5.97,6.68,1.79,15.74,None,4.3,1,0.44
1c07643c-bbf8-4f62-950f-caa6b9bebab2,Rodriguez LLC Investment Fund,ETFs,High,13.25,7+ years,Low,Medium,18916,189060,Low,Retirees,Emergency Fund,14.73,6.43,6.54,14.46,1.94,44.39,Tax-free dividends,3.8,3,0.11
